puntnummer;project_id;project_titel;projectdatum;hoogte;orde;publiek
000A4086;388=06;SEC Zeeland 2019 perceel 1 en 2;2019-08-01T00:00:00Z;5,90000000000000;2;J
000A4088;PSB61;NIEUWE NULPALEN;1988-01-08T00:00:00Z;6,08050000000000;2;N
000A4088;339=01=NAP;SEC herziening 339w01H+339w01-HY zeeland 1992;1992-09-07T00:00:00Z;6,04260000000000;2;N
000A4088;339W01H;Herb. WP. zeeland (339w01)aanvullen met hydro 92 (339w01--HY;1992-09-07T00:00:00Z;6,07000000000000;2;N
000A4088;339W01;ZEELAND 92-93  ( zie herberekening 339W01H );1993-04-01T00:00:00Z;6,07000000000000;2;N
000A4088;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;6,07000000000000;1;N
000A4088;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;6,04260000000000;1;N
000A4088;374W00-SEC;zeeland 2001;2001-09-30T00:00:00Z;6,07000000000000;2;N
000A4088;374=00=NAP;SEC zeeland 2001;2001-10-04T00:00:00Z;6,04260000000000;2;N
000A4088;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;6,04260000000000;1;J
000A4088;376=80;RIKZ metingen 2001 - 2003;2003-07-22T00:00:00Z;6,04260000000000;2;N
000A4088;384=11;SEC Zeeland zuid Brabant west 2009;2009-09-02T00:00:00Z;6,04260000000000;2;N
000A4090;301W28;NULPAAL KRAMMER;1989-02-15T00:00:00Z;6,53780000000000;2;N
000A4090;339=01=NAP;SEC herziening 339w01H+339w01-HY zeeland 1992;1992-09-07T00:00:00Z;6,52370000000000;2;N
000A4090;339W01H;Herb. WP. zeeland (339w01)aanvullen met hydro 92 (339w01--HY;1992-09-07T00:00:00Z;6,53290000000000;2;N
000A4090;339W01;ZEELAND 92-93  ( zie herberekening 339W01H );1993-04-01T00:00:00Z;6,53280000000000;2;N
000A4090;374W00-SEC;zeeland 2001;2001-09-30T00:00:00Z;6,53290000000000;2;N
000A4090;374=00=NAP;SEC zeeland 2001;2001-10-04T00:00:00Z;6,52370000000000;2;N
000A4090;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;6,52370000000000;1;J
000A4090;376=80;RIKZ metingen 2001 - 2003;2003-07-22T00:00:00Z;6,52370000000000;2;N
000A4090;384=04;SEC Zuid-Holland (RWS + NAM) en Zeeland 2008;2008-09-02T00:00:00Z;6,52370000000000;2;N
000A4091;339=01=NAP;SEC herziening 339w01H+339w01-HY zeeland 1992;1992-09-07T00:00:00Z;6,00180000000000;2;N
000A4091;339W01H;Herb. WP. zeeland (339w01)aanvullen met hydro 92 (339w01--HY;1992-09-07T00:00:00Z;6,01100000000000;2;N
000A4091;339W01;ZEELAND 92-93  ( zie herberekening 339W01H );1993-04-01T00:00:00Z;6,01090000000000;2;N
000A4091;374W00-SEC;zeeland 2001;2001-09-30T00:00:00Z;6,01100000000000;2;N
000A4091;374=00=NAP;SEC zeeland 2001;2001-10-04T00:00:00Z;6,00180000000000;2;N
000A4091;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;6,00180000000000;1;N
000A4092;301W28;NULPAAL KRAMMER;1989-02-15T00:00:00Z;7,37610000000000;2;N
000A4092;339=01=NAP;SEC herziening 339w01H+339w01-HY zeeland 1992;1992-09-07T00:00:00Z;7,34830000000000;2;N
000A4092;339W01H;Herb. WP. zeeland (339w01)aanvullen met hydro 92 (339w01--HY;1992-09-07T00:00:00Z;7,36310000000000;2;N
000A4092;339W01;ZEELAND 92-93  ( zie herberekening 339W01H );1993-04-01T00:00:00Z;7,36280000000000;2;N
000A4092;380=32;RIKZ metingen zeeland 2001,zie ook 376=80 EN 376=32;2001-01-01T00:00:00Z;7,34830000000000;2;N
000A4092;374W00-SEC;zeeland 2001;2001-09-30T00:00:00Z;7,36310000000000;2;N
000A4092;374=00=NAP;SEC zeeland 2001;2001-10-04T00:00:00Z;7,34830000000000;2;N
000A4092;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;7,34830000000000;1;J
000A4092;384=04;SEC Zuid-Holland (RWS + NAM) en Zeeland 2008;2008-09-02T00:00:00Z;7,34830000000000;2;N
